Ticker,Co_name,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary
CBA.AX,Commonwealth Bank of Australia,Banks - Diversified,banks-diversified,Banks - Diversified,Financial Services,financial-services,Financial Services,"Commonwealth Bank of Australia provides retail and commercial banking services in Australia, New Zealand, and internationally. It operates through Retail Banking Services, Business Banking, Institutional Banking and Markets, and New Zealand segments. The company offers savings accounts and term deposits, banking accounts, credit cards, personal and business loans, car and equipment finance, business overdraft, and international payment services; home loans; and home and content, car, health, life, income protection, pet, and travel insurance products. It also provides business cards; and capital raising solutions, transaction banking services, and risk management products and services. Commonwealth Bank of Australia was founded in 1911 and is based in Sydney, Australia.and home and content, car, health, life, income protection, pet, and travel insurance products. It also provides business cards; and capital raising solutions, transaction banking services, and risk management products and services. Commonwealth Bank of Australia was founded in 1911 and is based in Sydney, Australia."
BHP.AX,BHP Group Limited,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"BHP Group Limited operates as a resources company in Australia, Europe, China, Japan, India, South Korea, the rest of Asia, North America, South America, and internationally. The company operates through Copper, Iron Ore, and Coal segments. It engages in the mining of copper, uranium, gold, zinc, lead, molybdenum, silver, iron ore, cobalt, and metallurgical and energy coal. The company is also involved in the mining, smelting, and refining of nickel, as well as potash development activities. In addition, it provides towing, freight, marketing and trading, marketing support, finance, administrative, and other services. The company was founded in 1851 and is headquartered in Melbourne, Australia."
RIO.AX,Rio Tinto Group,Other Industrial Metals & Mining,other-industrial-metals-mining,Other Industrial Metals & Mining,Basic Materials,basic-materials,Basic Materials,"Rio Tinto Group engages in exploring, mining, and processing mineral resources worldwide. The company operates through Iron Ore, Aluminium, Copper, and Minerals Segments. The Iron Ore segment engages in the iron ore mining, and salt and gypsum production in Western Australia. The Aluminum segment is involved in bauxite mining; alumina refining; and aluminium smelting. The Copper segment engages in mining and refining of copper, gold, silver, molybdenum, and other by-products and exploration activities. The Minerals segment is involved in mining and processing of borates, titanium dioxide feedstock, and iron concentrate and pellets; diamond mining, sorting, and marketing; and development projects for battery materials, such as lithium. It also owns and operates open pit and underground mines; and refineries, smelters, processing plants and power, and shipping facilities. Rio Tinto Group was founded in 1873 and is headquartered in London, the United Kingdom."
CSL.AX,CSL Limited,Biotechnology,biotechnology,Biotechnology,Healthcare,healthcare,Healthcare,"CSL Limited researches, develops, manufactures, markets, and distributes biopharmaceutical and vaccines in Australia, the United States, Germany, the United Kingdom, Switzerland, China, Hong Kong, and internationally. The company operates through CSL Behring, CSL Seqirus, and CSL Vifor segments. The CSL Behring segment offers plasma products, gene therapies, and recombinants. The CSL Seqirus segment provides influenza related products and pandemic services to governments. The CSL Vifor segment offers products in the therapeutic areas of iron deficiency and nephrology. The company also licenses CSL intellectual property. CSL Limited was founded in 1916 and is headquartered in Melbourne, Australia."
NAB.AX,National Australia Bank Limited,Banks - Diversified,banks-diversified,Banks - Diversified,Financial Services,financial-services,Financial Services,"National Australia Bank Limited provides financial services to individuals and businesses in Australia, New Zealand, Europe, Asia, the United States, and internationally. The company operates through Business and Private Banking; Personal Banking; Corporate and Institutional Banking; New Zealand Banking; and Corporate Functions and Other segments. It accepts transaction accounts, savings accounts, debit cards, and term deposits; and specialized accounts, such as foreign currency, business interest, cash maximiser, farm management, community free saver, statutory trust, and project bank accounts, as well as farm management deposits. In addition, the company provides home loans, personal loans, and business loans; vehicle and equipment finance; and trade and invoice finance, as well as business overdrafts and bank guarantees. Further, it offers insurance products consisting of home and content, landlord, travel, car, caravan and trailer, life, and business insurance products; and pension, self-managed super funds, cash management, and financial planning and advisory services. Additionally, the company provides investment products; credit, debit, and business cards; payments and merchant services; online and internet banking services; small business services; international and foreign exchange solutions; and industry specific banking services. The company was founded in 1834 and is based in Melbourne, Australia."
WBC.AX,Westpac Banking Corporation,Banks - Diversified,banks-diversified,Banks - Diversified,Financial Services,financial-services,Financial Services,"Westpac Banking Corporation provides banking and other financial services in Australia, New Zealand, the Pacific Islands, Asia, the Americas, and Europe. The company operates through four segments: Consumer, Business & Wealth, Westpac Institutional Bank, and Westpac New Zealand. It offers savings, term deposit, business transaction, not-for-profit transaction, foreign currency, farm management deposit, project and retention trust, and statutory trust accounts; home, personal, business, and commercial loans; vehicle and equipment finance; business overdrafts and bank guarantees; debit and credit cards; international and travel services; share trading and margin lending services; investment products; and home, car, travel, life, caravan and trailer, credit card and loan repayment, boat, and business insurance products, as well as superannuation products. The company also provides corporate and institutional, transaction banking, private banking, financial market, corporate and structured finance, payment solutions, foreign exchange and international money transfers, trade and supply chain finance, and industry specific banking and treasury services, as well as online and telephone banking services. It serves individuals and consumers; small to medium businesses and commercial and agribusiness customers; high-net-worth individuals; and corporate and institutional and government customers. The company was formerly known as Bank of New South Wales and changed its name to Westpac Banking Corporation in October 1982. Westpac Banking Corporation was founded in 1817 and is headquartered in Sydney, Australia."
ANZ.AX,ANZ Group Holdings Limited,Banks - Diversified,banks-diversified,Banks - Diversified,Financial Services,financial-services,Financial Services,"ANZ Group Holdings Limited provides various banking and financial products and services to retail, individuals and business customers in Australia and internationally. It offers home and personal loans, deposits, and credit cards through the branch network, home loan specialists, contact centers, self-service channels, and third-party brokers. The company also provides asset financing for small business owners, medium and large commercial customers, high net worth individuals, and family groups. In addition, it offers working capital and liquidity solutions, including documentary trade, supply chain and commodity financing, cash management solutions, deposits, payments, and clearing services; loan products, loan syndication, loan structuring and execution, project and export finance, debt structuring, and acquisition finance services. Further, the company provides banking and wealth management services to consumers, and private banking and small business banking customers through its internet and app-based digital solutions, network of branches, mortgage specialists, relationship managers, and contact centers; and traditional relationship banking and financial solutions for small, medium, and large enterprises, agricultural business segments, and government and government-related entities. ANZ Group Holdings Limited was founded in 1835 and is based in Melbourne, Australia."
NEM.AX,Newmont Corporation,Gold,gold,Gold,Basic Materials,basic-materials,Basic Materials,"Newmont Corporation engages in the production and exploration of gold. It also explores for copper, silver, zinc, and lead. The company has operations and/or assets in the United States, Canada, Mexico, Dominican Republic, Peru, Suriname, Argentina, Chile, Australia, Papua New Guinea, Ecuador, Fiji, and Ghana. The company was founded in 1916 and is headquartered in Denver, Colorado."
MQG.AX,Macquarie Group Limited,Capital Markets,capital-markets,Capital Markets,Financial Services,financial-services,Financial Services,"Macquarie Group Limited provides diversified financial services in Australia, the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through four segments: Macquarie Asset Management (MAM), Banking and Financial Services (BFS), Commodities and Global Markets (CGM), and Macquarie Capital. The MAM segment provides investment solutions to clients across various capabilities in private markets and public investments, including infrastructure, green investments, agriculture and natural assets, real estate, private credit, asset finance, equities, fixed income, and multi-asset solutions. The BFS segment offers personal banking products comprising home loans, car loans, transaction and savings accounts, and credit cards; and wrap platform and cash management, financial advisory, and private banking services, as well as investment and superannuation products. It also provides deposit, lending, and payment solutions and services to business clients. The CGM segment provides risk management, lending and financing, capital solutions, market access, and physical execution and logistics to corporate and institutional clients; and specialist finance and asset management solutions. The Macquarie Capital segment provides advisory and capital raising services. It is also involved in development and investment in infrastructure and energy projects and companies; and brokerage business, including equity research, sales, execution capabilities, and corporate access. Macquarie Group Limited was founded in 1969 and is headquartered in Sydney, Australia."
WES.AX,Wesfarmers Limited,Home Improvement Retail,home-improvement-retail,Home Improvement Retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical,"Wesfarmers Limited engages in the retail business in Australia, New Zealand, and internationally. It sells outdoor living and building materials, as well as home, garden, and lifestyle improvement products; apparel and general merchandise, including toys and consumables, as well as leisure, entertainment, and soft home products; and office products and solutions, such as stationery, technology, furniture, art supplies, and learning and development resources, as well as print and create, and technical support services through its Officeworks stores. It also provides hardware and software repairs, system security solutions, wireless and wired networking services, virus and spyware prevention and removal, and data backup and recovery solutions. In addition, it manufactures and supplies ammonia, ammonium nitrate, and industrial chemicals; manufactures, imports, and distributes phosphate, nitrogen, and potassium-based fertilizers, as well as LPG; supplies polyvinyl chloride resins; produces wood-plastic composite products; and manufactures and distributes sodium cyanide and lithium hydroxide. Further, It produces and distributes liquefied petroleum gas and liquefied natural gas; supplies and distributes maintenance, repair, operating products, and industrial safety products and services; manufactures and markets industrial, medical, and specialty gases and equipment; supplies tools, safety gear, personal protective equipment, electricals, work wear, and industrial supplies; and provides risk and compliance management services, as well as footwear; safety products, uniforms, engineering supplies, and packaging services; and engages in other businesses. Additionally, it provides health, beauty, and wellbeing products and services; clinical cosmetic and skin care treatments; retail support services; distributes pharmaceutical goods; and operates online marketplace and data sharing platform. The company was founded in 1914 and is headquartered in Perth, Australia."
