Ticker,Name,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary
1,CKH HOLDINGS,Conglomerates,conglomerates,Conglomerates,Industrials,industrials,Industrials,"CK Hutchison Holdings Limited, an investment holding company, primarily operates in ports and related services, retail, infrastructure, and telecommunications businesses in Hong Kong and internationally. The company operates through four segments: Ports and Related Services, Retail, Infrastructure, and Telecommunications. It invests in, develops, and operates ports, which operate 293 berths in 53 ports spanning 24 countries; and provides logistics and transportation-related services, such as cruise ship terminals, distribution centers, rail services, and ship repair facilities. The company also operates retail brands with stores that offer personal care, health and beauty products, food and fine wines, consumer electronics, and electrical appliances, as well as operates supermarkets under Watsons, PARKnSHOP, and FORTRESS brands; and manufactures and distributes bottled water and other beverages under the Watsons Water and Mr. Juicy brands. In addition, it invests in energy infrastructure, transportation infrastructure, water infrastructure, waste management, waste-to-energy, household infrastructure, and other infrastructure related businesses. Further, the company provides mobile telecommunications and data services, as well as operates as an integrated energy company. Additionally, it researches, develops, manufactures, commercializes, markets, and sells nutraceuticals, pharmaceuticals, and agriculture-related products; provides marine construction and ship repair yard, general engineering, and tug operations, water supply and sewerage, electricity generation and distribution, gas distribution, and aircraft maintenance services; and leases rolling stocks. The company was founded in 1828 and is based in Central, Hong Kong."
2,CLP HOLDINGS,Utilities - Regulated Electric,utilities-regulated-electric,Utilities - Regulated Electric,Utilities,utilities,Utilities,"CLP Holdings Limited, an investment holding company, engages in the generation, transmission, and distribution of electricity in Hong Kong, Mainland China, India Thailand, Taiwan, and Australia. The company generates electricity through coal, gas, nuclear, and renewable resources, such as wind, hydro, and solar. It is also involved in the provision of pumped storage services, and energy and infrastructure solutions; property investment activities; and retail of electricity and gas. CLP Holdings Limited was founded in 1901 and is based in Kowloon, Hong Kong."
3,HK & CHINA GAS,Utilities - Regulated Gas,utilities-regulated-gas,Utilities - Regulated Gas,Utilities,utilities,Utilities,"The Hong Kong and China Gas Company Limited, together with its subsidiaries, produces, distributes, and markets gas, water supply and energy services in Hong Kong and Mainland China. It is involved in the provision of smart energy, piped city-gas, upstream and midstream projects, water supply and wastewater treatment, urban waste resource utilization, and natural gas filling stations, as well as new energy exploration and utilization activities. The company develops new energy projects that are low in emissions and pollution, which includes clean coal chemical business, liquefaction of methane, etc., as well as supplies town gas. It also provides network connectivity, data center, and ICT services, as well as engineering, procurement, and construction services. In addition, the company offers consultancy and engineering contractor services, including utilities installation, infrastructure construction, and civil and building services engineering for public and private projects; and designs and manufactures gas meters and metering systems. Further, it is involved in water supply, and domestic sewage and industrial wastewater treatment activities. Additionally, the company manufactures polyethylene piping and fittings; as well as engages in the software development, solution implementation, and systems integration activities. The Hong Kong and China Gas Company Limited was founded in 1862 and is headquartered in North Point, Hong Kong."
4,WHARF HOLDINGS,Real Estate - Development,real-estate-development,Real Estate - Development,Real Estate,real-estate,Real Estate,"Founded in 1886 as the 17th company registered in Hong Kong, The Wharf (Holdings) Limited (Stock Code: 0004) is a premier company with strong connection to the history of Hong Kong. As one of the 30 constituent stocks in the original Hang Seng Index from the 1960s, Wharf is backed by a long standing mission of Building for Tomorrow and a proven track record in management and execution. After spinning off Wharf Real Estate Investment Company Limited as a separately-listed company (Stock Code: 1997) in 2017, the Group's businesses currently comprise Investment Properties, Hotels and Development Properties in Hong Kong and Mainland China. Other businesses include Logistics Infrastructure through Modern Terminals and Hong Kong Air Cargo Terminals. The Group's exclusive Peak Portfolio, comprising a rare collection of unique properties, continues to feature the highest bespoke quality and craftsmanship catering to the demands of a discerning clientele that does not buy in off plans presale. The development profile is characterised by attention to details, generous development cost, long payback period and high capital intensity. In Mainland Investment Properties, starting from a small nascent base some 20 years ago, the Group's proactive efforts are beginning to bear fruit in order to realise plans to generate a proper return over the next 20 to 30 years remaining on the majority of the underlying land leases. However, market dynamics have changed and competition has significantly stiffened. The Mainland Development Properties land bank at the end of June 2022 was 1.94 million square metres. Strict price control and other regulatory policies have depressed selling prices and increased investment risk. The Group has become more selective with new land acquisition. At the same time, the Group's land bank has been marked to market, which is however still undergoing correction. Wharf Hotels manages 16 hotels, with over 5,000 rooms and suites, in Mainland China, Hong Kong and the Philippines. Niccolo Suzhou, opened in April 2021, was the fifth addition to the luxury Niccolo Hotels brand, with the other 11 hotels under the foundation Marco Polo Hotels brand. The Group owns three of these hotels and a fourth through a 50/50 joint venture. The Group also owns and operates Modern Terminals and is a founding partner in Hong Kong Air Cargo Terminals, key components in Hong Kong's success as an international trade and transportation hub for decades. Building for Tomorrow also extends to Wharf's Business-in-Community (BIC) commitment. Flagship school improvement programme Project WeCan grows from strength to strength along with a series of BIC initiatives, with an aim of helping different segments of society in Hong Kong and the Mainland."
5,HSBC HOLDINGS,Banks - Diversified,banks-diversified,Banks - Diversified,Financial Services,financial-services,Financial Services,"HSBC Holdings plc provides banking and financial services worldwide. The company operates through Wealth and Personal Banking, Commercial Banking, and Global Banking and Markets segments. The Wealth and Personal Banking segment offers retail banking and wealth products, including current and savings accounts, mortgages and personal loans, credit and debit cards, and local and international payment services; and wealth management services comprising insurance and investment products, global asset management services, investment management, and private wealth solutions. This segment serves personal banking and high net worth individuals. The Commercial Banking segment provides credit and lending, treasury management, payment, cash management, commercial insurance, and investment services; commercial cards; international trade and receivables finance services; foreign exchange products; capital raising services on debt and equity markets; and advisory services. It serves small and medium sized enterprises, mid-market enterprises, and corporates. The Global Banking and Markets segment offers financing, advisory, and transaction services; and credit, rates, foreign exchange, equities, money markets, and securities services; and engages in principal investment activities. It serves government, corporate and institutional clients, and private investors. HSBC Holdings plc was founded in 1865 and is headquartered in London, the United Kingdom."
6,POWER ASSETS,Utilities - Independent Power Producers,utilities-independent-power-producers,Utilities - Independent Power Producers,Utilities,utilities,Utilities,"Power Assets Holdings Limited, an investment holding company, engages in the generation, transmission, and distribution of electricity in Hong Kong, the United Kingdom, Australia, Mainland China, and internationally. It generates energy from thermal, renewable energy, and waste sources. The company also transmits and distributes oil and gas; and provides trust administration and management services. It has a generation capacity of 879 MW renewable energy/energy from waste, 5,262 MW gas fired, and 3,567 MW coal/oil fired; and operates 114,900 km of gas/oil pipeline, as well as 388,200 km of power network serving 19,790,000 customers. The company was formerly known as Hongkong Electric Holdings Limited and changed its name to Power Assets Holdings Limited in February 2011. Power Assets Holdings Limited was founded in 1889 and is based in Central, Hong Kong."
8,PCCW,Telecom Services,telecom-services,Telecom Services,Communication Services,communication-services,Communication Services,"PCCW Limited provides telecommunications and related services in Hong Kong, Mainland and other parts of China, Singapore, and internationally. The company's services include local telephony, local data and broadband, mobile, enterprise solutions, international telecommunications, and satellite-based and network-based telecommunications services; outsourcing, consulting, and contact center services; and technical consulting and engineering services. It also provides free television, pay television program, and interactive multimedia services; sells advertising in various telephone directories and on the Internet; publishes directories; sells mobile handsets and accessories; distributes media content; and mobile video on demand and advertising services through OTT platform. In addition, the company offers broadcasting and related services, management and engineering support services, customer relationship management and customer contact management solutions, and media content services; and over-the-top video services under the Viu brand, as well as sells customer premises equipment and related solutions. Further, it engages in the sale, distribution, and marketing of telecommunication products and services; provision of data services; software development, systems integration, consulting, and informatization activities; the provision of computer and IP/IT related value-added services to business customers; operates customer loyalty program and online merchandise sales; and content production, talent management, and entertainment business. Additionally, the company offers e-commerce, travel, insurance, big data analytics, fintech, and health-tech services. PCCW Limited was founded in 1925 and is headquartered in Quarry Bay, Hong Kong."
10,HANG LUNG GROUP,a,real-estate-services,Real Estate Services,Real Estate,real-estate,Real Estate,"Hang Lung Group Limited, an investment holding company, operates as a property developer in Hong Kong and the Mainland of China. The company operates through Property Leasing and Property Sales segments. It develops properties for sale and lease, such as large-scale commercial, office, and residential developments. The company also invests in and develops various properties, including shopping malls, office premises, residential and industrial premises, and car parking bays. In addition, its investment properties portfolio includes Grand Gateway 66, a commercial, office, and residential complex, as well as Plaza 66, a commercial and office complex in Shanghai; Palace 66 and Forum 66 in Shenyang; Parc 66 in Jinan; Center 66 in Wuxi; Riverside 66 in Tianjin; Olympia 66 in Dalian; Spring City 66 in Kunming; and Heartland 66 in Wuhan. Further, the company offers car park and property management, financial, management, project management, and property agency services, as well as operates and manages apartment. Hang Lung Group Limited was incorporated in 1960 and is headquartered in Central, Hong Kong."
11,HANG SENG BANK,Banks - Regional,banks-regional,Banks - Regional,Financial Services,financial-services,Financial Services,"Hang Seng Bank Limited, together with its subsidiaries, provides various banking and related financial services to individual, corporate, commercial, small and medium-sized enterprises, and institutional customers in Hong Kong, the Mainland of China, and internationally. It operates through five segments: Wealth and Personal Banking, Commercial Banking, Global Banking, Global Markets, and Other. The company offers personal banking services, including current and savings accounts, time deposits, mortgages and personal loans, credit cards, and insurance, investment, and other wealth management services, as well as consumer lending and wealth management services. It also provides corporate lending, trade and receivable finance, payments and cash management, treasury and foreign exchange, general insurance, key-person insurance, investment services, and corporate wealth management services; general banking and transaction banking, corporate lending, deposits, and cash management services; and tailored solutions and services in foreign exchange, bullion, equities, fixed income, and securities financing, as well as manages the funding and liquidity position activities. In addition, the company offers retirement benefits, life assurance, fund management, and stock broking services, as well as index compilation and licensing; fund raising and sales; and asset management services. It operates service outlets in Hong Kong; branches in Macau and Singapore; and representative office in Taipei, as well as a network of outlets in the Mainland of China. The company was founded in 1933 and is headquartered in Central, Hong Kong. Hang Seng Bank Limited operates as a subsidiary of The Hongkong and Shanghai Banking Corporation Limited."
12,HENDERSON LAND,Real Estate - Diversified,real-estate-diversified,Real Estate - Diversified,Real Estate,real-estate,Real Estate,"Henderson Land Development Company Limited, an investment holding company, engages in the property development and investment activities in Hong Kong and Mainland China. The company operates through Property Development, Property Leasing, Department Stores and Supermarket-Cum-Stores Operations, Hotel Room Operation, Other Businesses, and Utility and Energy segments. The Property Development segment develops and sells real estate properties. Its property portfolio primarily includes offices, shopping arcades, shopping malls, commercial complexes, and residential properties. The Property Leasing segment leases properties. The Department Stores and Supermarket-Cum-Stores Operations segment operates and manages department stores and supermarket-cum-stores. The Hotel Room Operation segment operates hotel properties. The Other Businesses segment operates and manages hotels; provides construction, finance, project management, property management, agency, and cleaning and security guard services; and trades in building materials. It also engages in food and beverage, and travel operations. The Utility and Energy segment is involved in production, distribution, and marketing gas; and water supply and environmentally friendly energy businesses. Henderson Land Development Company Limited was founded in 1976 and is based in Central, Hong Kong. Henderson Land Development Company Limited is a subsidiary of Henderson Development Limited."
