,Ticker,sector,ROE_2022,ROE_2023,ROE_2024,EBIT Margin_2022,EBIT Margin_2023,EBIT Margin_2024,ROA_2022,ROA_2023,ROA_2024,ROIC_2022,ROIC_2023,ROIC_2024
1650,PNT.AX,Basic Materials,-0.18998890364314291,-0.19114119707574528,,,,,-0.18275607093504934,-0.18330396492621664,,-0.18998890364314291,-0.19114119707574528,
1082,ESR.AX,Basic Materials,-0.13516903096842606,-0.07696036004431735,-0.13993733991848598,,-3.9121451170222996,,-0.12456519846354965,-0.07218123302244812,-0.13462555817932834,-0.13407333414435982,-0.07508026211057127,-0.13660039764336754
853,ETM.AX,Basic Materials,-0.22180764354283644,-0.2646644564345923,,,,,-0.20045177764682773,-0.23659996513182108,,-0.22180764354283644,-0.2646644564345923,
714,EUR.AX,Basic Materials,-0.20343208197152038,-0.16856847865897476,-5.867545307069594,-400.62436496988863,,,-0.19938789836143264,-0.1616882098603233,-2.341510715546344,-0.2028327688506971,-0.16856847865897476,-5.7186115165301095
1322,EV1.AX,Basic Materials,,-1.428662972880957,-1.319291751110563,,,,,-1.3228637714248495,-1.1669760552439519,,-1.428662972880957,-1.319291751110563
1354,EVG.AX,Basic Materials,-0.38794448547767585,-0.32335427690911045,-0.3156752646091207,,,,-0.3563079398873782,-0.30128218532202605,-0.2962872873504438,-0.38794448547767585,-0.32335427690911045,-0.3156752646091207
59,EVN.AX,Basic Materials,0.11170547046692737,0.049934858811895584,0.11355786255666209,0.22580496753397697,0.14093015503458847,0.23057862120627426,0.06107885435304716,0.02443618138411267,0.054237090900870616,0.07849533214437796,0.03221759506927429,0.07591957435891074
1378,EVR.AX,Basic Materials,-0.334515121316907,-0.6608995994738432,-0.5160670714377043,,,,-0.3122088218095644,-0.6229114163079176,-0.42709447667122635,-0.334515121316907,-0.6608995994738432,-0.4706613258762408
1326,RAG.AX,Basic Materials,-0.22932613187037826,-0.1254955251628824,0.4565269756150769,,,,-0.21924364052118703,-0.12228653194874718,0.43644351500646333,-0.22932613187037826,-0.1254955251628824,0.4565269756150769
1012,MTM.AX,Basic Materials,,-0.2593959773093896,-0.29223932743822706,,,,,-0.24220983951987293,-0.28319601787647897,,-0.2593959773093896,-0.2922385089701588
1380,ERW.AX,Basic Materials,-1.1620074117668633,-1.512928548940937,-1.859278250534226,,,,-0.9535383051221843,-1.0521649798651047,-1.4832766574403584,-1.1620074117668633,-1.512928548940937,-1.859278250534226
1418,SNX.AX,Basic Materials,,-0.10019565664394905,,,,,,-0.09490347417270056,,,-0.09995073397391847,
836,MTH.AX,Basic Materials,-0.02597827054465875,-0.0719209878696465,-0.050721524440504887,,,,-0.02519522389558413,-0.0706088355065269,-0.050055142309696474,-0.02597827054465875,-0.07190801722531522,-0.05068516891086844
869,FAL.AX,Basic Materials,,-0.4384518911819637,-0.37790183508964137,,,,,-0.4246543964099793,-0.3596428192450073,,-0.4384518911819637,-0.37790183508964137
254,PNR.AX,Basic Materials,-0.061625932486498565,-0.2810677929380491,-0.13122675953784124,-0.10905352254278117,-1.0083991820962954,-0.14623401372250147,-0.041635605702260034,-0.18439960895916216,-0.09167157363614449,-0.056962028504732816,-0.24557092696044555,-0.12124196845790083
1603,FAU.AX,Basic Materials,-0.9574465666429731,-0.7094379308069996,,-15701.9453125,-108.15512511896098,,-0.90270474667386,-0.6566877322743035,,-0.9534376723466,-0.7030945501552494,
1133,FBM.AX,Basic Materials,-0.26421059608981773,-0.10239181408092644,-0.5790829174967224,,,,-0.22728501843508256,-0.08983619737730333,-0.5183921020511623,-0.26421059608981773,-0.10239181408092644,-0.5790829174967224
1119,SNG.AX,Basic Materials,-0.11373672696444527,-0.11259575889974383,,,,,-0.1096568116910118,-0.10955696522872967,,-0.11329359477978401,-0.11216761162320366,
871,MTC.AX,Basic Materials,1.340835245285678,-0.977153204694421,-0.3334114771891751,,,,0.97902338203659,-0.8433987380080914,-0.26625071761915065,1.217624003907557,-0.977153204694421,-0.3042779365893099
1467,SMS.AX,Basic Materials,,-0.17368660823160859,-0.13558768965313625,,,,,-0.16509574803690283,-0.13189709225312896,,-0.17368660823160859,-0.13558768965313625
140,SMR.AX,Basic Materials,0.9186606764773524,0.3060477470765443,0.10689366452693273,0.33058832257585874,0.268262234270224,0.14001252348152787,0.36653096124019297,0.13650811997919238,0.05626478235959513,0.6257993638791502,0.23578148785905018,0.09104090898286149
1206,MTL.AX,Basic Materials,-3.6897546464260085,-1.536306454233573,-2.0238281807221146,,,,-2.5337986024593677,-1.1705710806169363,-1.32847379334778,-3.6897546464260085,-1.536306454233573,-2.0238281807221146
927,ERM.AX,Basic Materials,-0.06317583891711048,-0.15689089462978198,-0.48428785676882324,-19.562159778225805,,,-0.059419496371719185,-0.1450049272979936,-0.42567041174247616,-0.06317583891711048,-0.15689089462978198,-0.48428785676882324
1411,ERL.AX,Basic Materials,-1.0831468719599244,-1.032105686926613,-1.297586958382439,,,,-0.7389038461672351,-0.9253688089990435,-1.0679128812960517,-0.8161209261708902,-1.032105686926613,-1.297586958382439
1299,MVL.AX,Basic Materials,-1.4219148588481778,-0.7515525489383421,,,,,-0.7364243738046405,-0.742679747352549,,-1.4219148588481778,-0.7515525489383421,
1037,EM2.AX,Basic Materials,-3.5166323893830778,-1.8145995994712925,-1.665126842683089,,,,-1.3380618745704378,-0.6397141808424659,-0.3510384466317232,-1.5752325373050948,-0.7456690907153724,-0.3710555791421041
1543,SRI.AX,Basic Materials,-0.6491235578085807,-0.8899839984131244,-0.04889500628141464,-12.316331363667716,-5.349510094548632,,-0.5597869316988341,-0.7243821144375927,-0.04081206054206778,-0.6491235578085807,-0.8899839984131244,-0.04889500628141464
1027,EMC.AX,Basic Materials,-0.10738685240770397,-0.28978643543174365,-0.38474329006153707,,,,-0.1054829953512615,-0.2779342731676979,-0.33126602658798127,-0.10738685240770397,-0.28978643543174365,-0.38474329006153707
1595,SQX.AX,Basic Materials,,,-0.2138173965702059,,-51.7887670797585,,,,-0.2079145209855889,,,-0.2138173965702059
184,SPR.AX,Basic Materials,-0.8542949374065034,-0.3974818007500297,-0.40697925756326403,-0.4276795963008685,-0.5390516039051604,,-0.4527501995921921,-0.20624378160558576,-0.23590364688467233,-0.7619555905113692,-0.3722743743510415,-0.4030747762105246
1163,MXR.AX,Basic Materials,-0.08746804245088537,-0.06201359729826217,-0.059741211054341284,,,,-0.08424008764557063,-0.0601498151821795,-0.05657581352672604,-0.08746804245088537,-0.06201359729826217,-0.059741211054341284
137,EMR.AX,Basic Materials,0.2594477741684586,0.2347198048044592,0.1838009955687964,0.38664884316773945,0.31039487210497674,0.38200132226708705,0.13094303461334195,0.14165754783114196,0.1338911509093986,0.2594477741684586,0.2347198048044592,0.1838009955687964
1607,EMS.AX,Basic Materials,,-0.6538842796077902,-0.7251594992697716,,,,,-0.6019053056621033,-0.6794292662961612,,-0.6538842796077902,-0.7251594992697716
1545,EMT.AX,Basic Materials,-0.357869298531544,0.42086263881518354,-0.7083998859532101,,,,-0.3523652631553908,0.4179608371973307,-0.7025800460657484,-0.357869298531544,0.42086263881518354,-0.7083998859532101
1574,EMU.AX,Basic Materials,-2.95707935478757,-2.436955698134768,-4.223988256277265,,,,-2.4343338954468803,-1.887031755555893,-2.8802897912576992,-2.95707935478757,-2.436955698134768,-4.223988256277265
1116,SPQ.AX,Basic Materials,-0.06052915571390743,-0.06390459428093305,-0.09041591830885945,,,,-0.05671501442808006,-0.06112520904098725,-0.08738912103644693,-0.06052915571390743,-0.06390459428093305,-0.09041591830885945
450,ENR.AX,Basic Materials,0.23491565276860343,-0.06349954101719968,-0.13309246345330908,,,,0.2271947660066977,-0.061092260314723625,-0.1272493214559059,0.23491565276860343,-0.06349954101719968,-0.13309246345330908
1483,ENT.AX,Basic Materials,-0.1534203844606274,-0.3747745157777179,-0.21229781646223456,,,,-0.14882886654289745,-0.35808302777629214,-0.19440357497467892,-0.1534203844606274,-0.3747745157777179,-0.21229781646223456
1347,ENV.AX,Basic Materials,-0.036634437226562955,-0.0721162399333539,,,,,-0.03475816058082471,-0.07163724256311374,,-0.03512667202533708,-0.0721162399333539,
1427,ENX.AX,Basic Materials,-0.4002148331135608,-0.5492143731604416,-0.28766209471397547,,,,-0.36323294664284067,-0.5226128161830464,-0.2724110188562495,-0.4002148331135608,-0.5492143731604416,-0.28766209471397547
1098,SPN.AX,Basic Materials,-4.037526716463482,-1.257070025998537,-1.3264836268034372,,,,-3.34068558266623,-1.0120360715116434,-1.0856615378670453,-4.037526716463482,-1.257070025998537,-1.3264836268034372
868,SPD.AX,Basic Materials,,,-0.23950216655063902,,,,,,-0.23849525867903468,,,-0.23950216655063902
1169,EPM.AX,Basic Materials,-0.12883971711362338,-0.21593658141875213,-0.09680868318477902,,,,-0.12568286584878274,-0.21444386976243723,-0.09435741074828756,-0.12883971711362338,-0.21593658141875213,-0.09680868318477902
865,EQN.AX,Basic Materials,,-0.07638328722942697,-0.10192112501761054,,-595.8007774538387,-93.45605688014541,,-0.07483835792011725,-0.09922084865518636,,-0.07638328722942697,-0.10190874318336714
564,EQR.AX,Basic Materials,-0.3907478902135338,-0.24273303232320054,-0.7749566976499811,-1.3505943632640658,-0.44149990099021685,-0.9680269131451764,-0.21272713877402868,-0.08600749630770015,-0.25523673170235756,-0.341007809774153,-0.1390585399133749,-0.4223837949827579
647,MWY.AX,Basic Materials,-0.10191928476592269,-0.022533512872560644,0.006359206210972966,-0.02714405836652283,0.009352846772736451,0.01891993667762256,-0.04988943796027458,-0.012747456648187478,0.004289517429289205,-0.0750103353869193,-0.01824929196913962,0.005925496208511167
1657,MTB.AX,Basic Materials,0.22317899603803612,0.38772614620487617,0.3426934895956212,,,,-0.09885949998488892,-0.17867306947378112,-0.14113090117059768,-0.6789038649499837,-1.9100906473665915,-1.578647420929739
1054,ELT.AX,Basic Materials,-0.12895377593123997,-0.10613448020977102,-0.06096408337892953,,,,-0.11698323052281318,-0.10149673345332622,-0.056855040317426414,-0.12342242847001553,-0.10613448020977102,-0.05954229642486977
765,FEG.AX,Basic Materials,,-0.10356184667342834,-0.06060053667334626,,,,,-0.08854997876326134,-0.05182200561429609,,-0.1033689236064544,-0.060501462550633045
626,MSV.AX,Basic Materials,0.0002744767829330876,0.11810305044384678,0.13824340721124234,0.006334449403190946,0.05196925441976569,0.06246180941110356,0.0001152208391207759,0.05475993160095997,0.07003142984617886,0.00023567135542380005,0.10783664791193401,0.1336777179618783
521,MRL.AX,Basic Materials,-0.381177609636581,-0.38109820042907766,-0.13869867579422074,,,,-0.34802026080521453,-0.3117872864144879,-0.10364390943853896,-0.381177609636581,-0.366390725430145,-0.11544179362515256
1074,G11.AX,Basic Materials,-0.30994376974334625,-0.1884253019059324,-0.12290609839139581,,,,-0.29798646051026995,-0.1806416868134368,-0.11880022904947282,-0.30994376974334625,-0.1884253019059324,-0.12290609839139581
1057,G50.AX,Basic Materials,,-0.23791695867485096,-0.1888324412864209,,,,,-0.22746632226490887,-0.17630064770310375,,-0.23791695867485096,-0.1888324412864209
964,G6M.AX,Basic Materials,-0.8942336430169602,-0.461097308199149,,,,,-0.4359625094945136,-0.2243651043987154,,-0.6582154889713814,-0.2990911394867888,
1525,G88.AX,Basic Materials,-0.2723355618776483,-0.2432624041308389,-0.2418910376455817,,,,-0.2542501343098232,-0.228818543578803,-0.231710177769697,-0.2723355618776483,-0.2432624041308389,-0.2418910376455817
877,GAL.AX,Basic Materials,-0.05461201989719203,-0.04533914973859758,0.07442269303022682,,,0.5761695959050647,-0.053479144043252914,-0.043978095075729445,0.07257484556472632,-0.05461201989719203,-0.04533914973859758,0.07442269303022682
1351,MRD.AX,Basic Materials,-0.8212532592422884,-0.8534424362598272,-0.40780434038456426,,,,-0.7771429240805227,-0.8026103660756038,-0.382654171930441,-0.8212532592422884,-0.8534424362598272,-0.40780434038456426
909,GBE.AX,Basic Materials,-0.0891018584471929,-0.08964066313220567,-0.1095772355128553,,,,-0.08662941685685055,-0.08626358497594791,-0.10744745778626312,-0.08765029062823473,-0.08693665018036988,-0.10815323546090354
902,GBR.AX,Basic Materials,-0.16479774854134904,-0.14059352820336918,-0.668260549168132,,,,-0.14291325538712216,-0.11214126010354304,-0.5750306260869417,-0.16479774854134904,-0.14059352820336918,-0.6667406150478463
994,FXG.AX,Basic Materials,,-0.12182174319673525,-0.08112545590471404,,,,,-0.11896520236840158,-0.07890178479542945,,-0.12182174319673525,-0.07961630321446284
1305,GBZ.AX,Basic Materials,-0.018952269853418875,-0.05362056531397743,-0.14864188460941244,-0.18841148493901705,-0.7094410134950675,,-0.013695989276914662,-0.03530424825701845,-0.0947458673240863,-0.018915626598149528,-0.048983154848636856,-0.12724774671151326
1484,GCM.AX,Basic Materials,-0.4387914627790153,-0.24078827522460536,-0.11398046513180585,,,,-0.4277508283647237,-0.2244961821849836,-0.10669273762106167,-0.4387914627790153,-0.24078827522460536,-0.11398046513180585
